Step,Value
292,0.0
849,2.0
1099,3.0
1757,5.0
1849,6.0
1999,6.0
2050,6.0
2343,7.0
2449,8.0
3099,10.0
3199,10.0
3222,10.0
3449,11.0
3799,12.0
4099,13.0
4399,15.0
4549,15.0
4599,15.0
4899,16.0
5099,17.0
5449,18.0
5999,20.0
6449,22.0
6699,22.0
6799,23.0
7199,24.0
7249,24.0
7649,26.0
7899,26.0
7949,27.0
7999,27.0
8199,27.0
8499,29.0
8849,30.0
8899,30.0
9099,31.0
9599,32.0
9849,33.0
10049,34.0
10199,34.0
10699,36.0
10949,37.0
11149,38.0
11299,38.0
11449,39.0
11649,39.0
11719,39.0
12549,42.0
12749,43.0
12799,43.0
12999,44.0
13199,45.0
13299,45.0
13649,46.0
13699,46.0
13999,47.0
14149,48.0
14549,49.0
14899,50.0
15549,53.0
15749,53.0
15999,54.0
16149,55.0
16249,55.0
16799,57.0
17499,59.0
18049,61.0
18099,61.0
18165,61.0
18449,62.0
18799,64.0
18899,64.0
18949,64.0
19049,65.0
19337,65.0
19699,67.0
19849,67.0
19899,67.0
20299,69.0
21049,71.0
21099,72.0
21699,74.0
21949,74.0
21999,75.0
22149,75.0
22499,76.0
22749,77.0
22849,77.0
22949,78.0
23199,79.0
23439,79.0
23849,81.0
24099,82.0
24349,83.0
24549,83.0
24799,84.0
24899,84.0
24904,84.0
24999,85.0
25099,85.0
25149,85.0
25349,86.0
25399,86.0
25783,87.0
26049,88.0
26099,89.0
26349,89.0
26549,90.0
26649,90.0
27149,92.0
27449,93.0
27499,93.0
27549,94.0
27649,94.0
27699,94.0
27799,94.0
28299,96.0
28420,96.0
28599,97.0
28713,97.0
28849,98.0
29006,98.0
29049,99.0
29249,99.0
29449,100.0
29499,100.0
29899,102.0
30099,102.0
30199,103.0
30549,104.0
30749,104.0
30849,105.0
30899,105.0
30949,105.0
31249,106.0
31499,107.0
31599,107.0
31643,107.0
31799,108.0
31949,109.0
32099,109.0
32149,109.0
32199,109.0
32349,110.0
32749,111.0
32899,112.0
32949,112.0
32999,112.0
33099,112.0
33108,112.0
33399,113.0
33549,114.0
33599,114.0
33694,114.0
33749,115.0
33899,115.0
33949,115.0
33987,115.0
33999,116.0
34149,116.0
34299,117.0
34549,117.0
34573,117.0
34599,118.0
34866,118.0
35599,121.0
35749,122.0
35849,122.0
36049,123.0
37099,126.0
37199,126.0
37210,126.0
37399,127.0
37499,127.0
37649,128.0
37749,128.0
38089,129.0
38349,130.0
38499,131.0
38799,132.0
38899,132.0
39149,133.0
39249,133.0
39349,134.0
39399,134.0
39499,134.0
39847,135.0
39849,136.0
39999,136.0
40299,137.0
40433,137.0
40799,139.0
40999,139.0
41099,140.0
41149,140.0
41549,141.0
41599,141.0
41749,142.0
41799,142.0
41849,142.0
41898,142.0
42049,143.0
42099,143.0
42199,144.0
42249,144.0
42599,145.0
42777,145.0
42849,146.0
42949,146.0
42999,146.0
43363,147.0
43499,148.0
43849,149.0
43949,149.0
44099,150.0
44149,150.0
44349,151.0
44649,152.0
45121,153.0
45199,154.0
45449,155.0
45599,155.0
45699,155.0
45849,156.0
46000,156.0
46099,157.0
46299,158.0
46349,158.0
46399,158.0
46749,159.0
46999,160.0
47172,160.0
47199,161.0
47249,161.0
47649,162.0
47849,163.0
48449,165.0
48549,165.0
49399,168.0
49449,168.0
49599,169.0
49649,169.0
49699,169.0
50449,172.0
50688,172.0
50981,173.0
50999,174.0
51274,174.0
51349,175.0
51567,175.0
51649,176.0
51749,176.0
51899,177.0
52699,179.0
52749,180.0
52849,180.0
53199,181.0
53325,181.0
53649,183.0
53799,183.0
53911,183.0
54497,185.0
54790,186.0
55049,187.0
55199,188.0
55249,188.0
55299,188.0
55349,188.0
55599,189.0
55999,191.0
56249,191.0
56255,191.0
56399,192.0
56649,193.0
56749,193.0
56849,194.0
56999,194.0
57134,194.0
57149,195.0
57949,197.0
58399,199.0
58599,199.0
59199,202.0
59349,202.0
59399,202.0
59478,202.0
59499,203.0
60357,205.0
60399,206.0
60449,206.0
60650,206.0
60799,207.0
60949,208.0
61049,208.0
61236,208.0
61399,209.0
61549,210.0
62649,213.0
62699,213.0
63149,215.0
63499,216.0
63549,216.0
63649,217.0
63749,217.0
63799,217.0
64166,218.0
64459,219.0
65099,222.0
65149,222.0
65299,222.0
65599,223.0
66099,225.0
66299,226.0
66349,226.0
66449,226.0
66749,227.0
67049,228.0
67096,228.0
67449,230.0
67649,230.0
67699,231.0
67899,231.0
68268,232.0
68561,233.0
68599,234.0
68849,234.0
69149,236.0
69549,237.0
69599,237.0
69749,238.0
69999,238.0
70099,239.0
70199,239.0
70319,239.0
70449,240.0
70612,240.0
70949,242.0
71299,243.0
71399,243.0
71491,243.0
71599,244.0
71649,244.0
71899,245.0
71949,245.0
72299,246.0
72449,247.0
72499,247.0
72549,247.0
72649,247.0
72749,248.0
73049,249.0
73099,249.0
73449,250.0
73499,250.0
73849,252.0
74049,252.0
74128,252.0
74149,253.0
74249,253.0
74449,254.0
74499,254.0
74599,254.0
74649,254.0
74699,254.0
74899,255.0
75499,257.0
75886,258.0
76149,259.0
76449,260.0
76472,260.0
76849,262.0
77149,263.0
77549,264.0
77649,265.0
77949,266.0
78049,266.0
78230,266.0
78649,268.0
78699,268.0
78816,268.0
79049,269.0
79199,270.0
79749,272.0
79849,272.0
79899,272.0
80149,273.0
80199,273.0
80249,273.0
80299,274.0
80399,274.0
80899,276.0
81699,278.0
81949,279.0
82249,280.0
82499,281.0
82649,282.0
82749,282.0
82849,282.0
83099,283.0
83211,283.0
83299,284.0
83449,284.0
83549,285.0
83699,285.0
84090,286.0
84149,287.0
84676,288.0
84699,289.0
84749,289.0
85349,291.0
85549,291.0
85699,292.0
85849,293.0
85899,293.0
86049,293.0
86141,293.0
86199,294.0
86549,295.0
86649,295.0
86749,296.0
86899,296.0
87020,296.0
87099,297.0
87249,297.0
87349,298.0
88049,300.0
88349,301.0
88549,302.0
88599,302.0
88649,302.0
88749,302.0
88778,302.0
88849,303.0
88949,303.0
89099,304.0
89299,304.0
89499,305.0
89599,305.0
89899,306.0
89950,306.0
89999,307.0
90243,307.0
90399,308.0
90599,309.0
90699,309.0
90749,309.0
91149,311.0
91199,311.0
91399,311.0
91499,312.0
91649,312.0
91699,312.0
91799,313.0
91849,313.0
91949,313.0
92149,314.0
92199,314.0
92499,315.0
