Step,Value
299,9.999999747378752e-05
799,9.999999747378752e-05
949,9.999999747378752e-05
1249,9.999999747378752e-05
2049,9.999999747378752e-05
2149,9.999999747378752e-05
2249,9.999999747378752e-05
2299,9.999999747378752e-05
2399,9.999999747378752e-05
2699,9.999999747378752e-05
2749,9.999999747378752e-05
2849,9.999999747378752e-05
3299,9.999999747378752e-05
3599,9.999999747378752e-05
3649,9.999999747378752e-05
3699,9.999999747378752e-05
3749,9.999999747378752e-05
3999,9.999999747378752e-05
4399,9.999999747378752e-05
4749,9.999999747378752e-05
5149,9.999999747378752e-05
5299,9.999999747378752e-05
5349,9.999999747378752e-05
5699,9.999999747378752e-05
5949,9.999999747378752e-05
6349,9.999999747378752e-05
6549,9.999999747378752e-05
6999,9.999999747378752e-05
7149,9.999999747378752e-05
7549,9.999999747378752e-05
7799,9.999999747378752e-05
7949,9.999999747378752e-05
8399,9.999999747378752e-05
8449,9.999999747378752e-05
8899,9.999999747378752e-05
8949,9.999999747378752e-05
9199,9.999999747378752e-05
9299,9.999999747378752e-05
9349,9.999999747378752e-05
9549,9.999999747378752e-05
9949,9.999999747378752e-05
10349,9.999999747378752e-05
10399,9.999999747378752e-05
10449,9.999999747378752e-05
10649,9.999999747378752e-05
11199,9.999999747378752e-05
11499,9.999999747378752e-05
11749,9.999999747378752e-05
11899,9.999999747378752e-05
12499,9.999999747378752e-05
12799,9.999999747378752e-05
13049,9.999999747378752e-05
13199,9.999999747378752e-05
13399,9.999999747378752e-05
13599,9.999999747378752e-05
13699,9.999999747378752e-05
14649,9.999999747378752e-05
14899,9.999999747378752e-05
14949,9.999999747378752e-05
15199,9.999999747378752e-05
15399,9.999999747378752e-05
15449,9.999999747378752e-05
15549,9.999999747378752e-05
15949,9.999999747378752e-05
15999,9.999999747378752e-05
16299,9.999999747378752e-05
16349,9.999999747378752e-05
16399,9.999999747378752e-05
16549,9.999999747378752e-05
16999,9.999999747378752e-05
17399,9.999999747378752e-05
18199,9.999999747378752e-05
18399,9.999999747378752e-05
18699,9.999999747378752e-05
18899,9.999999747378752e-05
18999,9.999999747378752e-05
19599,9.999999747378752e-05
19649,9.999999747378752e-05
20449,9.999999747378752e-05
21099,9.999999747378752e-05
