Step,Value
299,64.0
799,64.0
949,64.0
1249,64.0
2049,64.0
2149,64.0
2249,64.0
2299,64.0
2399,64.0
2699,64.0
2749,64.0
2849,64.0
3299,64.0
3599,64.0
3649,64.0
3699,64.0
3749,64.0
3999,64.0
4399,64.0
4749,64.0
5149,64.0
5299,64.0
5349,64.0
5699,64.0
5949,64.0
6349,64.0
6549,64.0
6999,64.0
7149,64.0
7549,64.0
7799,64.0
7949,64.0
8399,64.0
8449,64.0
8899,64.0
8949,64.0
9199,64.0
9299,64.0
9349,64.0
9549,64.0
9949,64.0
10349,64.0
10399,64.0
10449,64.0
10649,64.0
11199,64.0
11499,64.0
11749,64.0
11899,64.0
12499,64.0
12799,64.0
13049,64.0
13199,64.0
13399,64.0
13599,64.0
13699,64.0
14649,64.0
14899,64.0
14949,64.0
15199,64.0
15399,64.0
15449,64.0
15549,64.0
15949,64.0
15999,64.0
16299,64.0
16349,64.0
16399,64.0
16549,64.0
16999,64.0
17399,64.0
18199,64.0
18399,64.0
18699,64.0
18899,64.0
18999,64.0
19599,64.0
19649,64.0
20449,64.0
21099,64.0
21149,64.0
21249,64.0
21549,64.0
21999,64.0
22099,64.0
22149,64.0
22299,64.0
22599,64.0
23049,64.0
23199,64.0
23249,64.0
23699,64.0
23749,64.0
24499,64.0
24599,64.0
24699,64.0
25399,64.0
25649,64.0
25749,64.0
25899,64.0
26299,64.0
26599,64.0
26699,64.0
26849,64.0
27149,64.0
27399,64.0
27899,64.0
27999,64.0
28199,64.0
28499,64.0
28699,64.0
28749,64.0
28999,64.0
29099,64.0
29149,64.0
29249,64.0
29349,64.0
29399,64.0
29649,64.0
29699,64.0
30149,64.0
30449,64.0
30549,64.0
30799,64.0
31049,64.0
31149,64.0
31749,64.0
32099,64.0
32149,64.0
32249,64.0
32299,64.0
32349,64.0
32399,64.0
32499,64.0
32649,64.0
32849,64.0
33099,64.0
33249,64.0
33449,64.0
33599,64.0
33749,64.0
33799,64.0
33949,64.0
33999,64.0
34149,64.0
34199,64.0
34449,64.0
34499,64.0
34849,64.0
34999,64.0
35199,64.0
