Step,Value
299,124805.0625
799,54913.875
949,47707.953125
1249,37724.75
2049,24897.25390625
2149,28175.37890625
2249,24603.828125
2299,25158.01171875
2399,23518.45703125
2699,21652.521484375
2749,21797.09375
2849,20798.453125
3299,18379.27734375
3599,17283.16796875
3649,17853.69921875
3699,18133.208984375
3749,17460.763671875
3999,16709.259765625
4399,17899.546875
4749,16777.10546875
5149,14569.0283203125
5299,14467.12890625
5349,15411.2001953125
5699,12563.083984375
5949,13517.869140625
6349,12309.94921875
6549,11484.224609375
6999,11975.9580078125
7149,12907.24609375
7549,10752.65234375
7799,11216.78515625
7949,11764.380859375
8399,10301.0986328125
8449,10619.1748046875
8899,9804.703125
8949,11110.4580078125
9199,10496.1083984375
9299,10100.65234375
9349,9696.181640625
9549,10160.640625
9949,10170.7490234375
10349,11565.5107421875
10399,10567.689453125
10449,9914.015625
10649,9804.318359375
11199,9861.0419921875
11499,9648.3828125
11749,8246.3037109375
11899,9048.037109375
12499,8070.1962890625
12799,8807.8935546875
13049,8997.224609375
13199,10164.4072265625
13399,9191.8525390625
13599,8039.1611328125
13699,8483.26171875
14649,8490.7822265625
14899,7819.564453125
14949,7673.7919921875
15199,7913.423828125
15399,7341.44140625
15449,7713.17822265625
15549,7624.05859375
15949,7769.6171875
15999,7322.0322265625
16299,9495.3818359375
16349,6705.041015625
16399,7281.87939453125
16549,7306.62353515625
16999,6838.64404296875
17399,6497.39306640625
18199,6596.92724609375
18399,7512.88525390625
18699,5980.9091796875
18899,6827.14501953125
18999,6669.29931640625
19599,7267.443359375
19649,5858.33349609375
20449,6428.66748046875
21099,6341.37548828125
21149,7111.578125
21249,9206.166015625
21549,6666.67138671875
21999,6708.82666015625
22099,7970.46044921875
22149,8215.37890625
22299,8244.4287109375
22599,7677.5205078125
23049,6107.703125
23199,7783.7919921875
23249,6967.44091796875
23699,7878.77294921875
23749,5765.55029296875
24499,6199.04931640625
24599,6143.50048828125
24699,6234.763671875
25399,6418.49169921875
25649,6951.3232421875
25749,6600.1123046875
25899,6930.5107421875
26299,4990.31494140625
26599,5637.541015625
26699,6206.73828125
26849,5923.55126953125
27149,6082.13037109375
27399,6153.927734375
27899,6080.9482421875
27999,5329.375
28199,5693.85009765625
28499,6784.1015625
28699,5711.0029296875
28749,5872.0146484375
28999,7019.0
29099,5866.6240234375
29149,5377.7587890625
29249,6316.4091796875
29349,7104.9501953125
29399,6402.71533203125
29649,5960.39794921875
29699,7159.28125
30149,5701.8544921875
30449,6334.20703125
30549,5982.6162109375
30799,5778.73046875
31049,5600.4482421875
31149,5864.47705078125
31749,5901.69921875
32099,4680.5380859375
32149,6530.7216796875
32249,5175.0478515625
32299,5846.34130859375
32349,5171.40283203125
32399,5724.9814453125
32499,5370.83447265625
32649,5600.36669921875
32849,5497.1494140625
33099,6005.65283203125
33249,5392.373046875
33449,6097.2412109375
33599,5716.1337890625
33749,5725.4296875
33799,6571.396484375
33949,5235.025390625
33999,6102.9375
34149,5905.5869140625
34199,5491.369140625
34449,4840.5966796875
34499,4657.9619140625
34849,5756.40576171875
34999,5664.82080078125
35199,6179.2275390625
35349,6051.73779296875
35549,5276.50390625
35749,5438.638671875
35949,5058.1982421875
36099,5886.30224609375
36149,5937.8994140625
36199,5086.3173828125
36549,4948.294921875
36849,6190.1435546875
36949,5297.322265625
36999,5055.3515625
37199,5070.8134765625
37399,5834.130859375
37549,5770.2119140625
37599,5191.1123046875
37649,4696.3076171875
37749,5729.341796875
37849,4974.8388671875
38299,7478.68505859375
38349,5350.2998046875
38499,5657.998046875
38549,5243.453125
38599,5393.14306640625
38699,5367.7060546875
38749,5124.3388671875
39049,5939.7998046875
39249,6218.7548828125
39299,4872.046875
39399,5105.24609375
39499,4803.998046875
39649,4662.03857421875
39699,5180.54833984375
39749,5920.4970703125
39799,4902.35107421875
39949,4946.693359375
40149,4790.49267578125
40399,4935.666015625
40449,6010.05029296875
40499,4831.0908203125
40799,5418.720703125
41099,5116.9736328125
41299,4526.7587890625
41449,4859.10205078125
41649,5064.24755859375
41849,4756.9736328125
41949,4783.296875
42199,5103.8466796875
43399,4868.294921875
43499,5385.56494140625
43549,4847.1884765625
43749,4220.853515625
43849,4569.98974609375
44049,5405.14794921875
44149,5418.791015625
44549,5524.2724609375
44849,4951.779296875
45049,5124.3046875
45399,4442.53515625
45449,5438.8447265625
45499,4571.45751953125
45549,4980.61376953125
45799,5037.7626953125
45899,4889.328125
46049,4678.46630859375
46099,5088.525390625
46199,4753.5283203125
46599,5298.67578125
46649,4786.9248046875
46799,6164.98876953125
47149,4875.77490234375
47299,4807.173828125
47749,4632.978515625
47849,5214.103515625
47899,4735.07861328125
47949,4907.072265625
48099,4644.00146484375
48149,5270.9482421875
48349,5034.6640625
48599,5306.341796875
48649,5262.8505859375
48849,4694.2119140625
48899,5710.74658203125
48949,4655.85205078125
48999,4783.80322265625
49199,4531.55126953125
49249,4709.6240234375
49399,5409.3876953125
49449,5725.3720703125
49849,4450.01953125
50049,5342.921875
50149,4356.7353515625
50249,4611.64013671875
50299,4541.318359375
50649,4856.349609375
50699,4722.818359375
50749,5139.23046875
50899,5040.77099609375
51299,4363.24169921875
51399,5033.27734375
51599,4176.58203125
51649,4233.505859375
51899,5242.77197265625
52249,4789.5556640625
52799,4278.9716796875
52899,4509.18603515625
53199,4322.4326171875
53249,4469.53515625
53349,5721.19970703125
53449,4264.71484375
53649,4619.82421875
53849,4826.2060546875
53949,4434.0390625
54199,5102.7080078125
54249,5102.80419921875
54299,4079.844482421875
54699,4558.63916015625
54999,4857.8828125
55199,4986.58544921875
55249,4356.4150390625
55299,3919.521484375
55749,4331.50390625
55849,4528.095703125
55999,4995.302734375
56299,4534.396484375
56699,4635.11083984375
56799,4839.88427734375
57799,4297.08349609375
57849,4022.774658203125
58049,4956.93115234375
58099,4374.6884765625
58149,4616.95751953125
59049,4900.49951171875
