Wall time,Step,Value
1657730380.5670338,299,64.0
1657730614.4984584,799,64.0
1657730690.1746857,949,64.0
1657730833.4719152,1249,64.0
1657731211.1667051,2049,64.0
1657731264.8583796,2149,64.0
1657731310.3652456,2249,64.0
1657731332.9893618,2299,64.0
1657731386.504131,2399,64.0
1657731529.9354682,2699,64.0
1657731552.538251,2749,64.0
1657731597.6278098,2849,64.0
1657731817.184712,3299,64.0
1657731961.070415,3599,64.0
1657731983.7363722,3649,64.0
1657732006.3872058,3699,64.0
1657732028.9396088,3749,64.0
1657732149.4222686,3999,64.0
1657732345.8189492,4399,64.0
1657732512.301474,4749,64.0
1657732701.1001794,5149,64.0
1657732776.279978,5299,64.0
1657732799.0276654,5349,64.0
1657732965.845327,5699,64.0
1657733086.8257,5949,64.0
1657733274.7940345,6349,64.0
1657733372.737469,6549,64.0
1657733582.7227983,6999,64.0
1657733657.1766915,7149,64.0
1657733845.8041885,7549,64.0
1657733965.2237308,7799,64.0
1657734040.858661,7949,64.0
1657734251.8571978,8399,64.0
1657734274.4350898,8449,64.0
1657734491.379277,8899,64.0
1657734514.0177448,8949,64.0
1657734633.4943438,9199,64.0
1657734678.5206106,9299,64.0
1657734700.9775305,9349,64.0
1657734798.3136642,9549,64.0
1657734985.4956472,9949,64.0
1657735181.1008756,10349,64.0
1657735203.7196124,10399,64.0
1657735226.3381147,10449,64.0
1657735325.7080717,10649,64.0
1657735588.7792735,11199,64.0
1657735731.3846774,11499,64.0
1657735850.881349,11749,64.0
1657735917.9552448,11899,64.0
1657736202.376536,12499,64.0
1657736344.7213137,12799,64.0
1657736464.545068,13049,64.0
1657736539.2059302,13199,64.0
1657736629.780826,13399,64.0
1657736728.5138934,13599,64.0
1657736773.658269,13699,64.0
1657737222.7097783,14649,64.0
1657737343.2342713,14899,64.0
1657737372.6240556,14949,64.0
1657737485.7014036,15199,64.0
1657737583.429874,15399,64.0
1657737606.255083,15449,64.0
1657737658.113074,15549,64.0
1657737846.044607,15949,64.0
1657737868.630264,15999,64.0
1657738011.0410264,16299,64.0
1657738033.6986654,16349,64.0
1657738056.134792,16399,64.0
1657738131.8001857,16549,64.0
1657738349.7059789,16999,64.0
1657738537.7020702,17399,64.0
1657738918.8809116,18199,64.0
1657739009.273944,18399,64.0
1657739151.952421,18699,64.0
1657739250.5353923,18899,64.0
1657739295.877504,18999,64.0
1657739580.684048,19599,64.0
1657739609.7732284,19649,64.0
1657739984.882721,20449,64.0
1657740300.021947,21099,64.0
1657740322.7712944,21149,64.0
