Wall time,Step,Value
1657730381.0108688,299,124805.0625
1657730614.9378667,799,54913.875
1657730690.614536,949,47707.953125
1657730833.926556,1249,37724.75
1657731211.6059217,2049,24897.25390625
1657731265.3136742,2149,28175.37890625
1657731310.8175719,2249,24603.828125
1657731333.4492002,2299,25158.01171875
1657731386.9590867,2399,23518.45703125
1657731530.387725,2699,21652.521484375
1657731552.9811404,2749,21797.09375
1657731598.0686114,2849,20798.453125
1657731817.6402156,3299,18379.27734375
1657731961.5267754,3599,17283.16796875
1657731984.1816278,3649,17853.69921875
1657732006.8293166,3699,18133.208984375
1657732029.3800406,3749,17460.763671875
1657732149.8608663,3999,16709.259765625
1657732346.2562082,4399,17899.546875
1657732512.7637353,4749,16777.10546875
1657732701.5572038,5149,14569.0283203125
1657732776.72734,5299,14467.12890625
1657732799.4892008,5349,15411.2001953125
1657732966.2884853,5699,12563.083984375
1657733087.270112,5949,13517.869140625
1657733275.2637992,6349,12309.94921875
1657733373.1910431,6549,11484.224609375
1657733583.1972535,6999,11975.9580078125
1657733657.6227345,7149,12907.24609375
1657733846.2434163,7549,10752.65234375
1657733965.6643066,7799,11216.78515625
1657734041.302899,7949,11764.380859375
1657734252.3006163,8399,10301.0986328125
1657734274.8889642,8449,10619.1748046875
1657734491.8425994,8899,9804.703125
1657734514.4539359,8949,11110.4580078125
1657734633.9393127,9199,10496.1083984375
1657734678.9580567,9299,10100.65234375
1657734701.4186292,9349,9696.181640625
1657734798.7514365,9549,10160.640625
1657734985.933813,9949,10170.7490234375
1657735181.5530403,10349,11565.5107421875
1657735204.171935,10399,10567.689453125
1657735226.793,10449,9914.015625
1657735326.1605105,10649,9804.318359375
1657735589.2261193,11199,9861.0419921875
1657735731.8397934,11499,9648.3828125
1657735851.3211803,11749,8246.3037109375
1657735918.400039,11899,9048.037109375
1657736202.8396125,12499,8070.1962890625
1657736345.1734366,12799,8807.8935546875
1657736464.9948041,13049,8997.224609375
1657736539.6648471,13199,10164.4072265625
1657736630.227904,13399,9191.8525390625
1657736728.9682844,13599,8039.1611328125
1657736774.109042,13699,8483.26171875
1657737223.1370091,14649,8490.7822265625
1657737343.6811774,14899,7819.564453125
1657737373.0837057,14949,7673.7919921875
1657737486.1478763,15199,7913.423828125
1657737583.8831115,15399,7341.44140625
1657737606.7004106,15449,7713.17822265625
1657737658.5660245,15549,7624.05859375
1657737846.4899344,15949,7769.6171875
1657737869.0753467,15999,7322.0322265625
1657738011.4958858,16299,9495.3818359375
1657738034.148257,16349,6705.041015625
1657738056.5787494,16399,7281.87939453125
1657738132.2636375,16549,7306.62353515625
1657738350.1621602,16999,6838.64404296875
1657738538.160611,17399,6497.39306640625
1657738919.3303468,18199,6596.92724609375
1657739009.7201073,18399,7512.88525390625
1657739152.4019508,18699,5980.9091796875
1657739250.9776745,18899,6827.14501953125
1657739296.336392,18999,6669.29931640625
1657739581.1299896,19599,7267.443359375
1657739610.2305193,19649,5858.33349609375
1657739985.3324416,20449,6428.66748046875
1657740300.4709182,21099,6341.37548828125
1657740323.2220035,21149,7111.578125
1657740368.4007344,21249,9206.166015625
1657740511.837223,21549,6666.67138671875
1657740730.4649374,21999,6708.82666015625
1657740775.7382247,22099,7970.46044921875
1657740798.4013047,22149,8215.37890625
1657740872.5192177,22299,8244.4287109375
1657741014.6355324,22599,7677.5205078125
1657741224.2788637,23049,6107.703125
1657741298.1796145,23199,7783.7919921875
1657741320.8293626,23249,6967.44091796875
1657741531.9869645,23699,7878.77294921875
1657741561.2779138,23749,5765.55029296875
1657741914.2158191,24499,6199.04931640625
1657741959.088307,24599,6143.50048828125
1657742012.629558,24699,6234.763671875
1657742343.3953257,25399,6418.49169921875
1657742463.536512,25649,6951.3232421875
1657742508.7008657,25749,6600.1123046875
1657742584.5692437,25899,6930.5107421875
1657742772.4229987,26299,4990.31494140625
1657742914.9819224,26599,5637.541015625
1657742967.012038,26699,6206.73828125
1657743034.905614,26849,5923.55126953125
1657743177.8859696,27149,6082.13037109375
1657743297.3056352,27399,6153.927734375
1657743536.7121208,27899,6080.9482421875
1657743581.87208,27999,5329.375
1657743680.1131864,28199,5693.85009765625
1657743822.753204,28499,6784.1015625
1657743912.8957405,28699,5711.0029296875
1657743942.4067338,28749,5872.0146484375
1657744055.2675633,28999,7019.0
1657744107.5426092,29099,5866.6240234375
1657744130.18721,29149,5377.7587890625
1657744175.496431,29249,6316.4091796875
1657744228.1074936,29349,7104.9501953125
1657744250.8406434,29399,6402.71533203125
1657744371.7742102,29649,5960.39794921875
1657744394.0907614,29699,7159.28125
1657744603.0328221,30149,5701.8544921875
1657744745.5299525,30449,6334.20703125
1657744798.983252,30549,5982.6162109375
1657744919.0705929,30799,5778.73046875
1657745032.2896872,31049,5600.4482421875
1657745085.3390753,31149,5864.47705078125
1657745369.7779765,31749,5901.69921875
1657745535.3814397,32099,4680.5380859375
1657745558.1771836,32149,6530.7216796875
1657745610.3435524,32249,5175.0478515625
1657745632.9977498,32299,5846.34130859375
1657745655.6296988,32349,5171.40283203125
1657745678.3491423,32399,5724.9814453125
1657745723.26769,32499,5370.83447265625
1657745797.6039228,32649,5600.36669921875
1657745895.3293555,32849,5497.1494140625
1657746008.605568,33099,6005.65283203125
1657746083.3465245,33249,5392.373046875
1657746180.1117046,33449,6097.2412109375
1657746247.8878014,33599,5716.1337890625
1657746322.7334805,33749,5725.4296875
1657746345.3198462,33799,6571.396484375
1657746413.2570581,33949,5235.025390625
1657746442.3964014,33999,6102.9375
1657746510.4256678,34149,5905.5869140625
1657746533.0828047,34199,5491.369140625
1657746654.3142118,34449,4840.5966796875
1657746676.9097176,34499,4657.9619140625
1657746841.8007774,34849,5756.40576171875
1657746917.747521,34999,5664.82080078125
1657747014.7023814,35199,6179.2275390625
1657747082.685811,35349,6051.73779296875
1657747180.0280952,35549,5276.50390625
1657747276.874954,35749,5438.638671875
1657747367.587723,35949,5058.1982421875
1657747442.374986,36099,5886.30224609375
1657747465.0368347,36149,5937.8994140625
1657747487.624458,36199,5086.3173828125
1657747651.7657187,36549,4948.294921875
1657747794.3885367,36849,6190.1435546875
1657747846.2844827,36949,5297.322265625
1657747868.8465142,36999,5055.3515625
1657747959.0453854,37199,5070.8134765625
1657748056.7553616,37399,5834.130859375
1657748131.3231583,37549,5770.2119140625
1657748153.8871977,37599,5191.1123046875
1657748176.4469156,37649,4696.3076171875
1657748221.6961539,37749,5729.341796875
1657748275.1588132,37849,4974.8388671875
1657748485.4335103,38299,7478.68505859375
1657748508.0434406,38349,5350.2998046875
1657748582.4704251,38499,5657.998046875
1657748605.0395894,38549,5243.453125
1657748627.6889431,38599,5393.14306640625
1657748679.610042,38699,5367.7060546875
1657748702.17965,38749,5124.3388671875
1657748844.369938,39049,5939.7998046875
1657748934.6191983,39249,6218.7548828125
1657748964.5535328,39299,4872.046875
1657749009.707658,39399,5105.24609375
1657749055.2124512,39499,4803.998046875
1657749129.6848485,39649,4662.03857421875
1657749152.2538157,39699,5180.54833984375
1657749174.6380155,39749,5920.4970703125
1657749196.9954422,39799,4902.35107421875
1657749271.5712504,39949,4946.693359375
1657749368.35746,40149,4790.49267578125
1657749481.2881083,40399,4935.666015625
1657749510.918838,40449,6010.05029296875
1657749533.6467795,40499,4831.0908203125
1657749675.956036,40799,5418.720703125
1657749818.8889506,41099,5116.9736328125
1657749908.438679,41299,4526.7587890625
1657749983.6127255,41449,4859.10205078125
1657750080.5747488,41649,5064.24755859375
1657750171.0605555,41849,4756.9736328125
1657750223.2201786,41949,4783.296875
1657750342.4090736,42199,5103.8466796875
1657750911.03031,43399,4868.294921875
1657750956.371398,43499,5385.56494140625
1657750978.9496276,43549,4847.1884765625
1657751077.7078357,43749,4220.853515625
1657751123.0420613,43849,4569.98974609375
1657751220.3372173,44049,5405.14794921875
1657751265.4931285,44149,5418.791015625
1657751459.3834038,44549,5524.2724609375
1657751602.713087,44849,4951.779296875
1657751693.1451845,45049,5124.3046875
1657751857.5630548,45399,4442.53515625
1657751887.173706,45449,5438.8447265625
1657751909.9101384,45499,4571.45751953125
1657751932.6107688,45549,4980.61376953125
1657752053.3653913,45799,5037.7626953125
1657752098.480829,45899,4889.328125
1657752172.8671174,46049,4678.46630859375
1657752195.3909426,46099,5088.525390625
1657752240.6021602,46199,4753.5283203125
1657752434.9169714,46599,5298.67578125
1657752457.6226208,46649,4786.9248046875
1657752525.3369021,46799,6164.98876953125
1657752688.6301444,47149,4875.77490234375
1657752763.2713077,47299,4807.173828125
1657752973.3940256,47749,4632.978515625
1657753025.7395446,47849,5214.103515625
1657753048.474297,47899,4735.07861328125
1657753071.096875,47949,4907.072265625
1657753145.8721695,48099,4644.00146484375
1657753168.5043924,48149,5270.9482421875
1657753265.3575966,48349,5034.6640625
1657753378.0155284,48599,5306.341796875
1657753407.7417479,48649,5262.8505859375
1657753498.1909068,48849,4694.2119140625
1657753520.7556512,48899,5710.74658203125
1657753550.1954389,48949,4655.85205078125
1657753572.9429238,48999,4783.80322265625
1657753663.4333444,49199,4531.55126953125
1657753692.6391408,49249,4709.6240234375
1657753760.8069282,49399,5409.3876953125
1657753783.4161732,49449,5725.3720703125
1657753979.3410723,49849,4450.01953125
1657754069.7659647,50049,5342.921875
1657754122.2831318,50149,4356.7353515625
1657754167.4964674,50249,4611.64013671875
1657754190.182086,50299,4541.318359375
1657754355.0108023,50649,4856.349609375
1657754384.336558,50699,4722.818359375
1657754407.1621776,50749,5139.23046875
