Wall time,Step,Value
1658844925.5746179,292,0.0
1658845123.6524482,699,2.0
1658845192.4160528,849,2.0
1658845314.1577923,1099,3.0
1658845635.0084176,1757,5.0
1658845680.9455216,1849,6.0
1658845726.2005975,1949,6.0
1658845748.737605,1999,6.0
1658845774.9957006,2050,6.0
1658845915.0463727,2343,7.0
1658845966.74545,2449,8.0
1658846156.3160214,2849,9.0
1658846277.7765317,3099,10.0
1658846300.5371568,3149,10.0
1658846323.3277774,3199,10.0
1658846337.0529134,3222,10.0
1658846444.8446841,3449,11.0
1658846611.976773,3799,12.0
1658846756.068921,4099,13.0
1658846907.5598176,4399,15.0
1658846976.109975,4549,15.0
1658846999.0678735,4599,15.0
1658847144.0984447,4899,16.0
1658847242.9275904,5099,17.0
1658847410.6811848,5449,18.0
1658847486.0743911,5599,19.0
1658847676.4514852,5999,20.0
1658847897.7733064,6449,22.0
1658848012.5271673,6699,22.0
1658848065.1220522,6799,23.0
1658848255.050944,7199,24.0
1658848277.5536244,7249,24.0
1658848475.7971795,7649,26.0
1658848589.7473552,7899,26.0
1658848619.771185,7949,27.0
1658848642.7231207,7999,27.0
1658848734.70302,8199,27.0
1658848886.7955744,8499,29.0
1658849053.8435967,8849,30.0
1658849076.8429904,8899,30.0
1658849099.7762806,8949,30.0
1658849175.9777172,9099,31.0
1658849412.3031275,9599,32.0
1658849533.999044,9849,33.0
1658849632.6264703,10049,34.0
1658849700.5996866,10199,34.0
1658849946.8003678,10699,36.0
1658850069.214707,10949,37.0
1658850167.942397,11149,38.0
1658850235.995743,11299,38.0
1658850311.0987513,11449,39.0
1658850402.7646642,11649,39.0
1658850437.9227965,11719,39.0
1658850836.0575762,12549,42.0
1658850934.4805224,12749,43.0
1658850957.3330283,12799,43.0
1658851056.0985556,12999,44.0
1658851154.8599353,13199,45.0
1658851200.898384,13299,45.0
1658851368.7329667,13649,46.0
1658851391.7818182,13699,46.0
1658851513.5890782,13949,47.0
1658851536.4177263,13999,47.0
1658851559.0564694,14049,47.0
1658851612.2131104,14149,48.0
1658851802.8604631,14549,49.0
1658851971.5714624,14899,50.0
1658852290.462085,15549,53.0
1658852382.8386855,15749,53.0
1658852504.6263626,15999,54.0
1658852583.5163934,16149,55.0
1658852628.9696975,16249,55.0
1658852872.1246984,16749,57.0
1658852895.0348213,16799,57.0
1658853230.5275266,17499,59.0
1658853496.2877717,18049,61.0
1658853519.1117327,18099,61.0
1658853552.344173,18165,61.0
1658853685.3398438,18449,62.0
1658853858.8550355,18799,64.0
1658853903.8574083,18899,64.0
1658853926.2812617,18949,64.0
1658853978.320962,19049,65.0
1658854113.7226143,19337,65.0
1658854290.8371928,19699,67.0
1658854359.6407955,19849,67.0
1658854382.4176767,19899,67.0
1658854557.032847,20249,69.0
1658854579.957276,20299,69.0
1658854891.881323,20949,71.0
1658854937.7610443,21049,71.0
1658854967.9557042,21099,72.0
1658855257.3421707,21699,74.0
1658855371.9419012,21949,74.0
1658855403.5791962,21999,75.0
1658855472.3910775,22149,75.0
1658855640.1531603,22499,76.0
1658855761.7323406,22749,77.0
1658855807.111314,22849,77.0
1658855860.4179704,22949,78.0
1658855981.9748862,23199,79.0
1658856095.1527953,23439,79.0
1658856294.4613516,23849,81.0
1658856340.2775648,23949,81.0
