Wall time,Step,Value
1658844933.1589487,299,1.0000000116860974e-07
1658845169.1174169,799,1.0000000116860974e-07
1658845244.6981442,949,1.0000000116860974e-07
1658845390.6446366,1249,1.0000000116860974e-07
1658845680.4996676,1849,1.0000000116860974e-07
1658845770.69478,2049,1.0000000116860974e-07
1658845823.175438,2149,1.0000000116860974e-07
1658845868.8316813,2249,1.0000000116860974e-07
1658845891.4056542,2299,1.0000000116860974e-07
1658845943.7626638,2399,1.0000000116860974e-07
1658846087.1437783,2699,1.0000000116860974e-07
1658846110.0812163,2749,1.0000000116860974e-07
1658846132.95751,2799,1.0000000116860974e-07
1658846155.8527856,2849,1.0000000116860974e-07
1658846375.5661044,3299,1.0000000116860974e-07
1658846519.7524283,3599,1.0000000116860974e-07
1658846542.8316786,3649,1.0000000116860974e-07
1658846565.9194202,3699,1.0000000116860974e-07
1658846588.8486307,3749,1.0000000116860974e-07
1658846710.2359927,3999,1.0000000116860974e-07
1658846907.0962956,4399,1.0000000116860974e-07
1658847074.8005257,4749,1.0000000116860974e-07
1658847265.4796124,5149,1.0000000116860974e-07
1658847341.5590281,5299,1.0000000116860974e-07
1658847364.4216974,5349,1.0000000116860974e-07
1658847531.6703403,5699,1.0000000116860974e-07
1658847653.058275,5949,1.0000000116860974e-07
1658847843.4218502,6349,1.0000000116860974e-07
1658847920.2247615,6499,1.0000000116860974e-07
1658847943.2212965,6549,1.0000000116860974e-07
1658848156.6264176,6999,1.0000000116860974e-07
1658848209.310194,7099,1.0000000116860974e-07
1658848232.1073802,7149,1.0000000116860974e-07
1658848422.0645149,7549,1.0000000116860974e-07
1658848543.7608755,7799,1.0000000116860974e-07
1658848589.3007212,7899,1.0000000116860974e-07
1658848619.3177214,7949,1.0000000116860974e-07
1658848711.6138198,8149,1.0000000116860974e-07
1658848833.6968532,8399,1.0000000116860974e-07
1658848856.6683254,8449,1.0000000116860974e-07
1658848932.0252101,8599,1.0000000116860974e-07
1658849076.3873518,8899,1.0000000116860974e-07
1658849099.3167503,8949,1.0000000116860974e-07
1658849221.5120647,9199,1.0000000116860974e-07
1658849267.2365162,9299,1.0000000116860974e-07
1658849290.1668885,9349,1.0000000116860974e-07
1658849388.9091332,9549,1.0000000116860974e-07
1658849411.845127,9599,1.0000000116860974e-07
1658849579.3012955,9949,1.0000000116860974e-07
1658849779.105402,10349,1.0000000116860974e-07
1658849801.7895465,10399,1.0000000116860974e-07
1658849824.5429392,10449,1.0000000116860974e-07
1658849923.7506025,10649,1.0000000116860974e-07
1658850190.311281,11199,1.0000000116860974e-07
1658850333.6395223,11499,1.0000000116860974e-07
1658850455.057641,11749,1.0000000116860974e-07
1658850524.0574183,11899,1.0000000116860974e-07
1658850812.9570198,12499,1.0000000116860974e-07
1658850956.8769608,12799,1.0000000116860974e-07
1658851078.6848722,13049,1.0000000116860974e-07
1658851101.5975552,13099,1.0000000116860974e-07
1658851154.4024835,13199,1.0000000116860974e-07
1658851246.3500996,13399,1.0000000116860974e-07
1658851345.1791997,13599,1.0000000116860974e-07
1658851391.323216,13699,1.0000000116860974e-07
1658851513.1308906,13949,1.0000000116860974e-07
1658851847.8657496,14649,1.0000000116860974e-07
1658851971.1179829,14899,1.0000000116860974e-07
1658852001.0038943,14949,1.0000000116860974e-07
1658852092.6865706,15149,1.0000000116860974e-07
1658852115.8232577,15199,1.0000000116860974e-07
1658852214.2511175,15399,1.0000000116860974e-07
1658852237.1794891,15449,1.0000000116860974e-07
1658852290.0066016,15549,1.0000000116860974e-07
1658852481.2351096,15949,1.0000000116860974e-07
1658852504.1782875,15999,1.0000000116860974e-07
1658852650.9904208,16299,1.0000000116860974e-07
1658852673.821705,16349,1.0000000116860974e-07
1658852696.1765494,16399,1.0000000116860974e-07
1658852772.9312108,16549,1.0000000116860974e-07
1658852993.252558,16999,1.0000000116860974e-07
1658853184.235806,17399,1.0000000116860974e-07
1658853571.2118633,18199,1.0000000116860974e-07
1658853662.3859386,18399,1.0000000116860974e-07
1658853806.3564749,18699,1.0000000116860974e-07
1658853903.4013913,18899,1.0000000116860974e-07
1658853948.216396,18999,1.0000000116860974e-07
1658854122.559903,19349,1.0000000116860974e-07
1658854237.4372122,19599,1.0000000116860974e-07
1658854267.4767895,19649,1.0000000116860974e-07
1658854648.370757,20449,1.0000000116860974e-07
1658854967.5061598,21099,1.0000000116860974e-07
1658854990.5774984,21149,1.0000000116860974e-07
1658855036.4546926,21249,1.0000000116860974e-07
