Wall time,Step,Value
1655306368.1249495,299,89257.2578125
1655306850.0454676,949,56268.71484375
1655307073.1889832,1249,25995.59765625
1655307666.929362,2049,19622.048828125
1655307746.4424307,2149,18910.716796875
1655307857.7646976,2299,18266.328125
1655308160.9289737,2699,17575.39453125
1655308273.0755062,2849,17345.029296875
1655308832.6710904,3599,15437.76171875
1655308944.4844124,3749,15516.89453125
1655309694.7865324,4749,14626.423828125
1655309996.3687563,5149,14037.2578125
1655310141.2458217,5349,13659.716796875
1655310891.6346498,6349,13402.958984375
1655311371.4383516,6999,12605.146484375
1655311973.7964332,7799,12678.1708984375
1655312085.9028447,7949,11673.4208984375
1655312418.7455025,8399,12369.744140625
1655312818.3639476,8949,11933.357421875
1655313009.6328976,9199,11564.2470703125
1655313088.609813,9299,11086.5205078125
1655313121.5144565,9349,12014.9228515625
1655313264.7494864,9549,11547.6142578125
1655313899.8913262,10399,11157.8759765625
1655314504.2848558,11199,11040.072265625
1655314726.6932893,11499,11208.5849609375
1655314903.4141119,11749,11420.787109375
1655315474.976955,12499,11171.6669921875
1655315698.934002,12799,10727.5634765625
1655315874.9347198,13049,11087.4775390625
1655316145.2836215,13399,11384.814453125
1655316290.0180364,13599,10465.1396484375
1655316367.9134011,13699,10759.0068359375
1655317070.6741052,14649,10072.0576171875
1655317674.3178878,15449,11072.62890625
1655317739.8747463,15549,10243.818359375
1655318043.2999609,15949,11365.1337890625
1655318491.3160322,16549,10257.2177734375
1655318827.5501435,16999,10389.1884765625
1655319129.7860742,17399,9678.609375
1655319722.1882203,18199,10397.501953125
1655319878.5886424,18399,9848.6181640625
1655321887.9420633,21099,10213.693359375
1655321920.2821035,21149,9599.8681640625
1655322557.839253,21999,8959.6904296875
1655322637.2810204,22099,9581.5771484375
1655322670.29146,22149,8998.1201171875
1655322781.250109,22299,9555.94921875
1655323339.7681398,23049,9607.5517578125
1655323451.1638014,23199,9305.4697265625
1655323497.0936825,23249,9013.0283203125
1655323866.192138,23749,9302.482421875
1655324502.5090752,24599,8979.080078125
1655324580.967084,24699,9264.70703125
1655325361.5596762,25749,9756.732421875
